,name
110,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk"
111,"Strawberry milk, NFS"
112,"Strawberry milk, whole"
113,"Strawberry milk, reduced fat (2%)"
114,"Strawberry milk, low fat (1%)"
115,"Strawberry milk, fat free  (skim)"
116,"Strawberry milk, reduced sugar"
117,"Milk, malted"
118,Eggnog
119,"Milk shake, home recipe, chocolate"
120,"Milk shake, home recipe, flavors other than chocolate"
121,"Milk shake, home recipe, chocolate, light"
122,"Milk shake, home recipe, flavors other than chocolate, light"
123,Milk shake with malt
124,"Milk shake, fast food, chocolate"
125,"Milk shake, fast food, flavors other than chocolate"
126,"Milk shake, bottled, chocolate"
127,"Milk shake, bottled, flavors other than chocolate"
128,Licuado or Batido
129,"Fruit smoothie, NFS"
130,"Fruit smoothie, with whole fruit and dairy"
131,"Fruit smoothie, with whole fruit and dairy, added protein"
132,"Fruit smoothie juice drink, with dairy"
133,Chocolate milk drink
134,"Infant formula, NFS"
135,"Infant formula, Similac, NFS"
136,"Infant formula, Similac Alimentum, ready-to-feed"
137,"Infant formula, Similac Alimentum, powder, made with water"
138,"Infant formula, Similac Advance, ready-to-feed"
139,"Infant formula, Similac Advance, powder, made with tap water"
140,"Infant formula, Similac Advance, powder, made with bottled water"
141,"Infant formula, Similac Advance, powder, made with baby water"
142,"Infant formula, Similac Sensitive, ready-to-feed"
143,"Infant formula, Similac Sensitive, powder, made with tap water"
144,"Infant formula, Similac Sensitive, powder, made with bottled water"
145,"Infant formula, Similac Sensitive, powder, made with baby water"
146,"Infant formula, Similac for Spit-Up, ready-to-feed"
147,"Infant formula, Similac for Spit-Up, powder, made with water"
148,"Toddler formula, Similac Go and Grow"
149,"Infant formula, Enfamil, NFS"
150,"Infant formula, Enfamil Infant, ready-to-feed"
151,"Infant formula, Enfamil Infant, powder, made with tap water"
152,"Infant formula, Enfamil Infant, powder, made with bottled water"
153,"Infant formula, Enfamil Infant, powder, made with baby water"
154,"Infant formula, Enfamil AR, ready-to-feed"
155,"Infant formula, Enfamil AR, powder, made with water"
156,"Infant formula, Enfamil Gentlease, ready-to-feed"
157,"Infant formula, Enfamil Gentlease, powder, made with tap water"
158,"Infant formula, Enfamil Gentlease, powder, made with bottled water"
159,"Infant formula, Enfamil Gentlease, powder, made with baby water"
160,"Toddler formula, Enfamil Enfagrow"
161,"Toddler formula, PediaSure"
162,"Toddler formula, Nido Kinder"
163,"Toddler formula, store brand, beginning or next stage"
164,"Toddler formula, store brand, pediatric shake"
165,"Infant formula, Gerber, NFS"
166,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed"
167,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water"
168,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water"
169,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water"
170,"Infant formula, Gerber Good Start Gentle, Stage 2"
171,"Toddler formula, Gerber Good Start, Stage 3"
172,"Infant formula, premature, powder, made with water"
173,"Infant formula, premature, ready-to-feed"
174,"Infant formula, organic, powder, made with water"
175,"Infant formula, organic, ready-to-feed"
176,"Infant formula, store brand, advantage or tender, powder, made with tap water"
177,"Infant formula, store brand, advantage or tender, powder, made with bottled water"
178,"Infant formula, store brand, advantage or tender, powder, made with baby water"
179,"Infant formula, store brand, gentle or sensitivity"
180,"Infant formula, store brand, added rice"
181,"Infant formula, Enfamil ProSobee, ready-to-feed"
182,"Infant formula, Enfamil ProSobee, powder, made with tap water"
183,"Infant formula, Enfamil ProSobee, powder, made with bottled water"
184,"Infant formula, Enfamil ProSobee, powder, made with baby water"
185,"Infant formula, Similac Isomil Soy, ready-to-feed"
186,"Infant formula, Similac Isomil Soy, powder, made with tap water"
187,"Infant formula, Similac Isomil Soy, powder, made with bottled water"
188,"Infant formula, Similac Isomil Soy, powder, made with baby water"
189,"Infant formula, Similac for Diarrhea"
190,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed"
191,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water"
192,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water"
193,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water"
194,"Infant formula, store brand, soy"
195,"Infant formula, Enfamil Nutramigen, ready-to-feed"
196,"Infant formula, Enfamil Nutramigen, powder, made with water"
197,"Infant formula, Enfamil Pregestimil, ready-to-feed"
198,"Infant formula, Enfamil Pregestimil, powder, made with water"
199,"Infant formula, amino acids"
200,"Infant formula, low iron"
201,"Milk, dry, not reconstituted"
202,"Whey, sweet, dry"
203,"Cocoa powder, not reconstituted"
204,"Chocolate beverage powder, dry mix, not reconstituted"
205,"Chocolate beverage powder, light, dry mix, not reconstituted"
206,"Milk, malted, dry mix, not reconstituted"
207,"Strawberry beverage powder, dry mix, not reconstituted"
208,"Cream, NS as to light, heavy, or half and half"
209,"Cream, light"
210,"Cream, half and half"
211,"Cream, half and half, flavored"
212,"Cream, half and half, fat free"
213,"Cream, heavy"
214,"Cream, whipped"
215,"Coffee creamer, NFS"
216,"Coffee creamer, liquid"
217,"Coffee creamer, liquid, flavored"
218,"Coffee creamer, liquid, fat free"
219,"Coffee creamer, liquid, fat free, flavored"
220,"Coffee creamer, liquid, fat free, sugar free, flavored"
221,"Coffee creamer, liquid, sugar free, flavored"
222,"Coffee creamer, powder"
223,"Coffee creamer, powder, flavored"
224,"Coffee creamer, powder, fat free"
225,"Coffee creamer,powder, sugar free, flavored"
226,"Coffee creamer, soy, liquid"
227,Whipped topping
228,"Whipped topping, fat free"
229,"Whipped topping, sugar free"
230,"Sour cream, regular"
231,"Sour cream, light"
232,"Sour cream, fat free"
233,"Sour cream, imitation"
234,"Dip, NFS"
235,"Chipotle dip, regular"
236,"Chipotle dip, light"
237,"Onion dip, regular"
238,"Onion dip, light"
239,"Ranch dip, regular"
240,"Ranch dip, light"
241,"Spinach dip, regular"
242,"Spinach dip, light"
243,"Vegetable dip, regular"
244,"Vegetable dip, light"
245,"Ice cream, NFS"
246,"Ice cream, vanilla"
247,"Ice cream, vanilla, with additional ingredients"
248,"Ice cream, chocolate"
249,"Ice cream, chocolate, with additional ingredients"
250,"Ice cream, soft serve, vanilla"
251,"Ice cream, soft serve, chocolate"
252,"Gelato, vanilla"
253,"Gelato, chocolate"
254,"Ice cream bar, vanilla"
255,"Ice cream bar, vanilla, chocolate coated"
256,Ice cream candy bar
257,"Ice cream bar, chocolate"
258,"Ice cream sandwich, vanilla"
259,"Ice cream sandwich, chocolate"
260,Ice cream cookie sandwich
261,"Ice cream cone, scooped, vanilla"
262,"Ice cream cone, scooped, vanilla, waffle cone"
263,"Ice cream cone, NFS"
264,"Ice cream cone, scooped, chocolate"
265,"Ice cream cone, scooped, chocolate, waffle cone"
266,"Ice cream cone, soft serve, vanilla"
267,"Ice cream cone, soft serve, chocolate"
268,"Ice cream cone, soft serve, vanilla, waffle cone"
269,"Ice cream cone, soft serve, chocolate, waffle cone"
270,"Ice cream cone, vanilla, prepackaged"
271,"Ice cream cone, chocolate, prepackaged"
272,"Ice cream soda, flavors other than chocolate"
273,"Ice cream soda, chocolate"
274,"Ice cream sundae, NFS"
275,"Ice cream sundae, fruit topping"
276,Banana split
277,"Ice cream sundae, hot fudge topping"
278,"Ice cream sundae, caramel topping"
279,"Ice cream, fried"
280,"Light ice cream, NFS"
281,"Light ice cream, vanilla"
282,"Light ice cream, chocolate"
283,"Soft serve, blended with candy or cookies, from fast food"
284,"Light ice cream sandwich, vanilla"
285,"Light ice cream sandwich, chocolate"
286,"Light ice cream bar, vanilla"
287,"Light ice cream bar, vanilla, chocolate coated"
288,"Light ice cream bar, chocolate"
289,Creamsicle
290,Fudgesicle
291,"Light ice cream cone, vanilla, prepackaged"
292,"Light ice cream cone, chocolate, prepackaged"
293,"Sherbet, all flavors"
294,"Fudgesicle, light"
295,"Pudding, chocolate, NFS"
296,"Pudding, bread"
297,"Pudding, flavors other than chocolate, NFS"
298,Custard
299,Flan
300,Creme brulee
301,"Pudding, rice"
302,"Firni, Indian pudding"
303,"Pudding, tapioca, made from dry mix"
304,"Pudding, flavors other than chocolate, made from dry mix"
305,"Pudding, chocolate, made from dry mix"
306,"Pudding, flavors other than chocolate, made from dry mix, sugar free"
307,"Pudding, chocolate, made from dry mix, sugar free"
308,"Pudding, flavors other than chocolate, ready-to-eat"
309,"Pudding, flavors other than chocolate, ready-to-eat, sugar free"
310,"Pudding, chocolate, ready-to-eat"
311,"Pudding, chocolate, ready-to-eat, sugar free"
312,"Pudding, tapioca, ready-to-eat"
313,Banana pudding
314,Mousse
315,Dulce de leche
316,"Barfi or Burfi, Indian dessert"
317,Trifle
318,Tiramisu
319,White sauce or gravy
320,"Cheese, NFS"
321,"Cheese, Blue or Roquefort"
322,"Cheese, Brick"
323,"Cheese, Camembert"
324,"Cheese, Brie"
325,"Cheese, Cheddar"
326,"Cheese, Cheddar, reduced fat"
327,"Cheese, Cheddar, nonfat or fat free"
328,"Cheese, Colby"
329,"Cheese, Colby Jack"
330,"Cheese, Feta"
331,"Cheese, Fontina"
332,"Cheese, goat"
333,"Cheese, Gouda or Edam"
334,"Cheese, Gruyere"
335,"Cheese, Limburger"
336,"Cheese, Monterey"
337,"Cheese, Monterey, reduced fat"
338,"Cheese, Mozzarella, NFS"
339,"Cheese, Mozzarella, part skim"
340,"Cheese, Mozzarella, reduced sodium"
341,"Cheese, Mozzarella, nonfat or fat free"
342,"Cheese, Muenster"
343,"Cheese, Muenster, reduced fat"
344,"Cheese, Parmesan, dry grated"
345,"Cheese, Parmesan, dry grated, reduced fat"
346,"Cheese, Parmesan, hard"
347,"Cheese, Parmesan, dry grated, fat free"
348,"Cheese, Port du Salut"
349,"Cheese, Provolone"
350,"Cheese, provolone, reduced fat"
351,"Cheese, Swiss"
352,"Cheese, Swiss, reduced sodium"
353,"Cheese, Swiss, reduced fat"
354,"Cheese, Swiss, nonfat or fat free"
355,"Cheese, Cheddar, reduced sodium"
356,"Cheese, paneer"
357,"Cheese, Mexican blend"
358,"Cheese, Mexican blend, reduced fat"
359,"Queso Anejo, aged Mexican cheese"
360,Queso Asadero
361,Queso Fresco
362,Queso cotija
363,"Cheese, cottage, NFS"
364,"Cheese, cottage, creamed, large or small curd"
365,"Cottage cheese, farmer's"
366,"Cheese, Ricotta"
367,"Cheese, cottage, with fruit"
368,"Cheese, cottage, with vegetables"
369,"Cheese, cottage, dry curd"
370,"Cheese, cottage, salted, dry curd"
371,Puerto Rican white cheese
372,"Cheese, cottage, low fat"
373,"Cheese, cottage, lowfat, with fruit"
374,"Cheese, cottage, lowfat, low sodium"
375,"Cheese, cottage, lowfat, lactose reduced"
376,"Cream cheese, regular, plain"
377,"Cream cheese, regular, flavored"
378,"Cream cheese, light"
379,"Cheese, American and Swiss blends"
380,"Cheese, American"
381,"Cheese, American, reduced fat"
382,"Cheese, American, nonfat or fat free"
383,"Cheese, American, reduced sodium"
384,"Cheese spread, American or Cheddar cheese base, reduced fat"
385,"Cream cheese, fat free"
386,"Cheese, processed cheese food"
387,"Cheese, processed, with vegetables"
388,"Cheese,  with wine"
389,"Cheese spread, American or Cheddar cheese base"
390,"Cheese spread, Swiss cheese base"
391,"Cheese spread, cream cheese"
392,"Cheese spread, pressurized can"
393,Imitation cheese
394,"Cheese, cottage cheese, with gelatin dessert"
395,"Cheese, cottage cheese, with gelatin dessert and fruit"
396,"Cheese, cottage cheese, with gelatin dessert and vegetables"
397,Cheese ball
398,Artichoke dip
399,Spinach and artichoke dip
400,Seafood dip
401,Cheese dip with chili pepper
402,Cheese dip
403,Topping from cheese pizza
404,Topping from vegetable pizza
405,Topping from meat pizza
406,Topping from meat and vegetable pizza
407,Cheese fondue
408,Cheese souffle
409,Welsh rarebit
410,"Cheese sandwich, NFS"
411,"Cheese sandwich, American cheese, on white bread"
412,"Cheese sandwich, American cheese, on wheat bread"
413,"Cheese sandwich, cheddar cheese, on white bread"
414,"Cheese sandwich, cheddar cheese, on wheat bread"
415,"Cheese sandwich, reduced fat cheese, on white bread"
416,"Cheese sandwich, reduced fat cheese, on wheat bread"
417,"Grilled cheese sandwich, NFS"
418,"Grilled cheese sandwich, American cheese, on white bread"
419,"Grilled cheese sandwich, American cheese, on wheat bread"
420,"Grilled cheese sandwich, cheddar cheese, on white bread"
421,"Grilled cheese sandwich, cheddar cheese, on wheat bread"
422,"Grilled cheese sandwich, reduced fat cheese, on white bread"
423,"Grilled cheese sandwich, reduced fat cheese, on wheat bread"
424,Cheese sauce
425,Alfredo sauce
426,Alfredo sauce with added vegetables
427,Alfredo sauce with meat
428,Alfredo sauce with meat and added vegetables
429,Alfredo sauce with poultry
430,Alfredo sauce with poultry and added vegetables
431,Alfredo sauce with seafood
432,Alfredo sauce with seafood and added vegetables
433,"Mozzarella sticks, breaded, baked, or fried"
434,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing"
435,"Meat, NFS"
436,"Meat, ground, NFS"
437,"Baby Toddler meat, NFS"
438,"Beef, NFS"
439,"Steak, NS as to type of meat, NS as to fat eaten"
440,"Beef, steak, NFS"
441,"Beef, steak, chuck"
442,"Beef, steak, cube"
443,"Beef, steak, flank"
444,"Beef, steak, ribeye, NS as to fat eaten"
445,"Beef, steak, ribeye, lean and fat eaten"
446,"Beef, steak, ribeye, lean only eaten"
447,"Beef, steak, round"
448,"Beef, steak, sirloin, NS as to fat eaten"
449,"Beef, steak, sirloin, lean and fat eaten"
450,"Beef, steak, sirloin, lean only eaten"
451,"Beef, steak, strip, NS as to fat eaten"
452,"Beef, steak, strip, lean and fat eaten"
453,"Beef, steak, strip, lean only eaten"
454,"Beef, steak, T-bone, NS as to fat eaten"
455,"Beef, steak, T-bone,  lean and fat eaten"
456,"Beef, steak, T-bone, lean only eaten"
457,"Beef, steak, tenderloin"
458,"Beef, steak, country fried"
459,"Beef, oxtails"
460,"Beef, neck bones"
461,"Beef, shortribs"
462,"Beef, cow head"
463,"Beef, roast"
464,"Beef, pot roast"
465,"Beef, stew meat"
466,"Beef, corned"
467,"Beef, brisket"
468,"Beef, sandwich steak"
469,"Beef, ground, raw"
470,"Beef, ground"
471,"Beef, ground, patty"
472,"Beef, bacon, cooked"
473,"Beef, bacon, reduced sodium, cooked"
474,"Beef, dried, chipped, uncooked"
475,"Beef, dried, chipped, cooked in fat"
476,Beef jerky
477,Baby Toddler beef
478,"Pork, NFS"
479,"Pork, ground"
480,"Pork, carnitas"
481,Pork jerky
482,"Pork, chop, NS as to fat eaten"
483,"Pork, chop, lean and fat eaten"
484,"Pork, chop, lean only eaten"
485,"Pork, chop, coated, NS as to fat eaten"
486,"Pork, chop, coated, lean and fat eaten"
487,"Pork, chop, coated, lean only eaten"
488,"Pork, chop, stuffed"
489,"Pork, steak, NS as to fat eaten"
490,"Pork, steak, lean and fat eaten"
491,"Pork, steak, lean only eaten"
492,"Pork, steak, coated"
493,"Pork, tenderloin"
494,Ham
495,"Ham, prosciutto"
496,"Ham, canned"
497,"Ham, ground"
498,"Pork, roast"
499,"Pork, roll"
500,"Canadian bacon, cooked"
501,"Bacon, NS as to type of meat, cooked"
502,"Bacon, NS as to type of meat, reduced sodium, cooked"
503,"Pork bacon, NS as to fresh, smoked or cured, cooked"
504,"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked"
505,"Pork bacon, smoked or cured, cooked"
506,"Bacon or side pork, fresh, cooked"
507,"Pork bacon, smoked or cured, reduced sodium, cooked"
508,"Fat back, cooked"
509,"Ribs, NFS"
510,"Pork, ribs"
511,"Pork, cracklings"
512,"Pork, ears"
513,"Pork, bones"
514,"Pork, pig's feet"
515,"Pork, pig's feet, pickled"
516,"Pork, ham hocks"
517,"Pork, belly"
518,Pork skin rinds
519,Baby Toddler ham
520,Baby Toddler meat stick
521,"Lamb, NS as to cut"
522,"Lamb, chop"
523,"Lamb, ground"
524,Goat
525,"Veal, chop"
526,"Veal, ground"
527,Mock chicken legs
528,Rabbit
529,"Venison, NFS"
530,"Venison, steak"
531,Venison/deer jerky
532,Venison sausage
533,Moose
534,Bear
535,Caribou
536,Bison
537,Groundhog
538,Opossum
539,Squirrel
540,Beaver
541,Raccoon
542,Armadillo
543,Wild pig
544,Ostrich
545,"Chicken, NS as to part and cooking method, NS as to skin eaten"
546,"Chicken, NS as to part and cooking method, skin eaten"
547,"Chicken, NS as to part and cooking method, skin not eaten"
548,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten"
549,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten"
550,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten"
551,"Chicken, NS as to part, rotisserie, NS as to skin eaten"
552,"Chicken, NS as to part, rotisserie, skin eaten"
553,"Chicken, NS as to part, rotisserie, skin not eaten"
554,"Chicken, NS as to part, stewed, NS as to skin eaten"
555,"Chicken, NS as to part, stewed, skin eaten"
556,"Chicken, NS as to part, stewed, skin not eaten"
557,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten"
558,"Chicken, NS as to part, grilled without sauce, skin eaten"
559,"Chicken, NS as to part, grilled without sauce, skin not eaten"
560,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten"
561,"Chicken, NS as to part, grilled with sauce, skin eaten"
562,"Chicken, NS as to part, grilled with sauce, skin not eaten"
563,"Chicken, NS as to part, sauteed, skin eaten"
564,"Chicken, NS as to part, sauteed, skin not eaten"
565,"Chicken, NS as to part, fried, coated, skin / coating eaten"
566,"Chicken, NS as to part, fried, coated, skin / coating not eaten"
567,"Chicken, NS as to part, baked, coated, skin / coating eaten"
568,"Chicken, NS as to part, baked, coated, skin / coating not eaten"
569,"Chicken breast, NS as to cooking method, skin eaten"
570,"Chicken breast, NS as to cooking method, skin not eaten"
571,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw"
572,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw"
573,"Chicken breast, baked or broiled, skin eaten, from pre-cooked"
574,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked"
575,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant"
576,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant"
577,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw"
578,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw"
579,"Chicken breast, rotisserie, skin eaten"
580,"Chicken breast, rotisserie, skin not eaten"
581,"Chicken breast, stewed, skin eaten"
582,"Chicken breast, stewed, skin not eaten"
583,"Chicken breast, grilled without sauce, skin eaten"
584,"Chicken breast, grilled without sauce, skin not eaten"
585,"Chicken breast, grilled with sauce, skin eaten"
586,"Chicken breast, grilled with sauce, skin not eaten"
587,"Chicken breast, sauteed, skin eaten"
588,"Chicken breast, sauteed, skin not eaten"
589,"Chicken breast, fried, coated, skin / coating eaten, from raw"
590,"Chicken breast, fried, coated, skin / coating not eaten, from raw"
591,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw"
592,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked"
593,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked"
594,"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant"
595,"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant"
596,"Chicken breast, baked, coated, skin / coating eaten"
597,"Chicken breast, baked, coated, skin / coating not eaten"
598,"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten"
599,"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten"
600,"Chicken leg, drumstick and thigh, baked or broiled, skin eaten"
601,"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten"
602,"Chicken leg, drumstick and thigh, rotisserie, skin eaten"
603,"Chicken leg, drumstick and thigh, rotisserie, skin not eaten"
604,"Chicken leg, drumstick and thigh, stewed, skin eaten"
605,"Chicken leg, drumstick and thigh, stewed, skin not eaten"
606,"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten"
607,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten"
608,"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten"
609,"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten"
610,"Chicken leg, drumstick and thigh, sauteed, skin eaten"
611,"Chicken leg, drumstick and thigh, sauteed, skin not eaten"
612,"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten"
613,"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten"
614,"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten"
615,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten"
616,"Chicken drumstick, NS as to cooking method, skin eaten"
617,"Chicken drumstick, NS as to cooking method, skin not eaten"
618,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw"
619,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw"
620,"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked"
621,"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked"
622,"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant"
623,"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant"
624,"Chicken drumstick, rotisserie, skin eaten"
625,"Chicken drumstick, rotisserie, skin not eaten"
626,"Chicken drumstick, grilled without sauce, skin eaten"
627,"Chicken drumstick, grilled without sauce, skin not eaten"
628,"Chicken drumstick, grilled with sauce, skin eaten"
629,"Chicken drumstick, grilled with sauce, skin not eaten"
630,"Chicken drumstick, stewed, skin eaten"
631,"Chicken drumstick, stewed, skin not eaten"
632,"Chicken drumstick, sauteed, skin eaten"
633,"Chicken drumstick, sauteed, skin not eaten"
634,"Chicken drumstick, fried, coated, skin / coating eaten, from raw"
635,"Chicken drumstick, fried, coated, skin / coating not eaten, from raw"
636,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw"
637,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked"
638,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked"
639,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant"
640,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant"
641,"Chicken drumstick, baked, coated, skin / coating eaten"
642,"Chicken drumstick, baked, coated, skin / coating not eaten"
643,"Chicken thigh, NS as to cooking method, skin eaten"
644,"Chicken thigh, NS as to cooking method, skin not eaten"
645,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw"
646,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw"
647,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked"
648,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked"
649,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant"
650,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant"
651,"Chicken thigh, rotisserie, skin eaten"
652,"Chicken thigh, rotisserie, skin not eaten"
653,"Chicken thigh, stewed, skin eaten"
654,"Chicken thigh, stewed, skin not eaten"
655,"Chicken thigh, grilled without sauce, skin eaten"
