food_name,category,healthy,long_covid,me_cfs,mcas,pots,notes
"Yogurt, Greek, whole milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, low fat milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, nonfat milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, NS as to type of milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, whole milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, low fat milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, nonfat milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, whole milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, low fat milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, nonfat milk, flavors other than fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, with oats",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, liquid",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
Yogurt tube,Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Chipotle dip, yogurt based",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Onion dip, yogurt based",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Ranch dip, yogurt based",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Spinach dip, yogurt based",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
Tzatziki dip,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Vegetable dip, yogurt based",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt parfait, with fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt, NFS",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt, vanilla",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt, chocolate",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt, soft serve, vanilla",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt, soft serve, chocolate",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
Frozen yogurt sandwich,Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt bar, vanilla",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt bar, chocolate",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt cone, chocolate",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt cone, vanilla",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt cone, vanilla, waffle cone",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Frozen yogurt cone, chocolate, waffle cone",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Baby Toddler food, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Baby Toddler yogurt, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Baby Toddler yogurt, with fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Chocolate milk, NFS",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, whole",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, reduced fat (2%)",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, fat free (skim)",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, low fat (1%)",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, reduced sugar, NFS",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Hot chocolate / cocoa, NFS",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, made with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Hot chocolate / cocoa, with whipped cream",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, Nesquik, NS as to type of milk",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, Nesquik, made with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Chocolate milk, reduced sugar, whole",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, reduced sugar, reduced fat (2%)",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, reduced sugar, low fat (1%)",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate milk, reduced sugar, fat free (skim)",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Hot chocolate / cocoa, dry mix, made with water",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Strawberry milk, NFS",Strawberry milk,ok,ok,ok,avoid,neutral,Strawberries are histamine liberators
"Strawberry milk, whole",Strawberry milk,ok,ok,ok,avoid,neutral,Strawberries are histamine liberators
"Strawberry milk, reduced fat (2%)",Strawberry milk,ok,ok,ok,avoid,neutral,Strawberries are histamine liberators
"Strawberry milk, low fat (1%)",Strawberry milk,ok,ok,ok,avoid,neutral,Strawberries are histamine liberators
"Strawberry milk, fat free  (skim)",Strawberry milk,ok,ok,ok,avoid,neutral,Strawberries are histamine liberators
"Strawberry milk, reduced sugar",Strawberry milk,ok,ok,ok,avoid,neutral,Strawberries are histamine liberators
"Milk, malted",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
Eggnog,Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, home recipe, chocolate",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, home recipe, flavors other than chocolate",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, home recipe, chocolate, light",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, home recipe, flavors other than chocolate, light",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
Milk shake with malt,Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, fast food, chocolate",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, fast food, flavors other than chocolate",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, bottled, chocolate",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Milk shake, bottled, flavors other than chocolate",Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
Licuado or Batido,Milkshakes / eggnog,caution,caution,caution,caution,neutral,"High sugar, additives; eggnog may contain alcohol"
"Fruit smoothie, NFS",Fruit smoothies,ok,ok,ok,caution,neutral,Depends on fruit — citrus/strawberry problematic for MCAS
"Fruit smoothie, with whole fruit and dairy",Fruit smoothies,ok,ok,ok,caution,neutral,Depends on fruit — citrus/strawberry problematic for MCAS
"Fruit smoothie, with whole fruit and dairy, added protein",Fruit smoothies,ok,ok,ok,caution,neutral,Depends on fruit — citrus/strawberry problematic for MCAS
"Fruit smoothie juice drink, with dairy",Fruit smoothies,ok,ok,ok,caution,neutral,Depends on fruit — citrus/strawberry problematic for MCAS
Chocolate milk drink,Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Infant formula, NFS",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac, NFS",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Alimentum, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Alimentum, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Advance, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Advance, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Advance, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Advance, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Sensitive, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Sensitive, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Sensitive, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Sensitive, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac for Spit-Up, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac for Spit-Up, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, Similac Go and Grow",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil, NFS",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Infant, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Infant, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Infant, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Infant, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil AR, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil AR, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Gentlease, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Gentlease, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Gentlease, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Gentlease, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, Enfamil Enfagrow",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, PediaSure",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, Nido Kinder",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, store brand, beginning or next stage",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, store brand, pediatric shake",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber, NFS",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Gentle, Stage 2",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Toddler formula, Gerber Good Start, Stage 3",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, premature, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, premature, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, organic, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, organic, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, store brand, advantage or tender, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, store brand, advantage or tender, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, store brand, advantage or tender, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, store brand, gentle or sensitivity",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, store brand, added rice",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil ProSobee, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil ProSobee, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil ProSobee, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil ProSobee, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Isomil Soy, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Isomil Soy, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Isomil Soy, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac Isomil Soy, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Similac for Diarrhea",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, store brand, soy",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Nutramigen, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Nutramigen, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Pregestimil, ready-to-feed",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, Enfamil Pregestimil, powder, made with water",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, amino acids",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Infant formula, low iron",Infant / toddler formula,ok,ok,ok,ok,neutral,Formulated for specific needs
"Milk, dry, not reconstituted",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Whey, sweet, dry",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Cocoa powder, not reconstituted",Chocolate milk / hot cocoa,ok,caution,caution,caution,neutral,Cocoa contains biogenic amines; added sugar
"Chocolate beverage powder, dry mix, not reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Chocolate beverage powder, light, dry mix, not reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Milk, malted, dry mix, not reconstituted",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Strawberry beverage powder, dry mix, not reconstituted",Strawberries,ok,ok,ok,avoid,neutral,Histamine liberator
"Cream, NS as to light, heavy, or half and half",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Cream, light",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Cream, half and half",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Cream, half and half, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Cream, half and half, fat free",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Cream, heavy",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Cream, whipped",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, NFS",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, liquid",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, liquid, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, liquid, fat free",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, liquid, fat free, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, liquid, fat free, sugar free, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, liquid, sugar free, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, powder",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, powder, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, powder, fat free",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer,powder, sugar free, flavored",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Coffee creamer, soy, liquid",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
Whipped topping,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Whipped topping, fat free",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Whipped topping, sugar free",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Sour cream, regular",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Sour cream, light",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Sour cream, fat free",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
